Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_419,0.18564657867,0.0873574838042,0.978725671768,0,0,RCID_bbd2865b-8a0e-4a66-a49c-b7c0a7d9c1ea,1194.59790039,90393.2734375,441277.8125,-2.73776197433,0.0243211258203,
1,Roof,B-1_2_LoD0_LoD1_LoD2_419,0.175328373909,0.103280074894,0.9790776968,1,0,RCID_bbd2865b-8a0e-4a66-a49c-b7c0a7d9c1ea,1189.70605469,90391.8671875,441278.3125,-2.54391884804,8.25068950653,
2,Roof,B-1_2_LoD0_LoD1_LoD2_419,0.176507070661,0.102261714637,0.978972792625,2,0,RCID_bbd2865b-8a0e-4a66-a49c-b7c0a7d9c1ea,1203.88232422,90390.5703125,441280.4375,-2.5360865593,3.84551072121,
3,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.0292059946805,-0.0172433070838,0.999424695969,0,1,RCID_c74cced3-e909-4d3e-aabf-a5f1a33dc9d8,1316.39379883,90388.25,441275.5,-2.75338435173,2.24408888817,
4,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.0293213073164,-0.017611598596,0.999414861202,1,1,RCID_c74cced3-e909-4d3e-aabf-a5f1a33dc9d8,1316.49353027,90387.140625,441277.40625,-2.75274419785,4.74691820145,
5,Wall,B-1_2_LoD0_LoD1_LoD2_419,0.894418776035,0.447218596935,-0.00325438473374,0,2,RCID_9b61aee4-a4f6-4b6a-b326-2408d2a01d7a,523.722229004,90393.65625,441278.0,-3.90647149086,0.075018979609,
6,Wall,B-1_2_LoD0_LoD1_LoD2_419,0.843867301941,0.536543190479,-0.00305842934176,1,2,RCID_9b61aee4-a4f6-4b6a-b326-2408d2a01d7a,498.664245605,90392.8515625,441279.3125,-3.90218925476,6.46586513519,
7,Wall,B-1_2_LoD0_LoD1_LoD2_419,0.842836558819,0.538167595863,-0.00151876430027,2,2,RCID_9b61aee4-a4f6-4b6a-b326-2408d2a01d7a,494.571105957,90391.671875,441281.125,-3.8960082531,2.97387838364,
8,Wall,B-1_2_LoD0_LoD1_LoD2_419,0.527195811272,-0.849743485451,0.000704286852852,0,3,RCID_2d3298c8-db1b-4059-ba60-d624e6f29a1b,1114.83154297,90392.140625,441277.09375,-3.46988606453,7.27984189987,
9,Wall,B-1_2_LoD0_LoD1_LoD2_419,0.529921650887,-0.848036170006,0.00421131867915,1,3,RCID_2d3298c8-db1b-4059-ba60-d624e6f29a1b,1043.35144043,90389.7109375,441275.59375,-3.54811024666,7.21803998947,
10,Wall,B-1_2_LoD0_LoD1_LoD2_419,0.525347411633,-0.850866615772,-0.00600911304355,2,3,RCID_2d3298c8-db1b-4059-ba60-d624e6f29a1b,1078.09313965,90388.234375,441274.6875,-3.87362575531,1.64574372768,
11,Wall,B-1_2_LoD0_LoD1_LoD2_419,-0.861365914345,-0.507984995842,0.0,0,4,RCID_829fbdc6-3392-4e74-9041-ea1e439b5a1b,937.628540039,90387.59375,441275.0625,-3.879966259,3.11246490479,
12,Wall,B-1_2_LoD0_LoD1_LoD2_419,-0.856792151928,-0.515661895275,0.0,1,4,RCID_829fbdc6-3392-4e74-9041-ea1e439b5a1b,911.073120117,90386.46875,441276.9375,-3.87983155251,6.49965858459,
13,Wall,B-1_2_LoD0_LoD1_LoD2_419,-0.522272706032,0.852778494358,0.000288344279397,0,5,RCID_46d773ab-e069-4315-8b70-4b71a3678097,415.004455566,90389.421875,441280.5625,-3.46984839439,7.62037849426,
14,Wall,B-1_2_LoD0_LoD1_LoD2_419,-0.530617535114,0.847597181797,-0.00488949939609,1,5,RCID_46d773ab-e069-4315-8b70-4b71a3678097,416.901275635,90386.984375,441279.0625,-3.58276224136,6.91586685181,
15,Wall,B-1_2_LoD0_LoD1_LoD2_419,-0.543251216412,0.83957016468,0.0,2,5,RCID_46d773ab-e069-4315-8b70-4b71a3678097,417.200775146,90391.0546875,441281.5625,-3.86174106598,1.41499841213,
16,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.248379930854,-0.124801911414,0.96058934927,0,6,RCID_99fe661f-160d-4d93-a7e6-dfc89a4440e5,1403.54760742,90389.265625,441275.3125,-2.72921967506,0.000762471347116,
17,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.248962089419,-0.144707947969,0.957641661167,1,6,RCID_99fe661f-160d-4d93-a7e6-dfc89a4440e5,1410.33630371,90388.515625,441276.625,-2.72822141647,0.0634799897671,
18,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.250835061073,-0.145951941609,0.956963896751,2,6,RCID_99fe661f-160d-4d93-a7e6-dfc89a4440e5,1411.03515625,90387.421875,441278.5,-2.72677898407,0.0290836896747,
19,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.173509344459,-0.0873684212565,0.980949223042,3,6,RCID_99fe661f-160d-4d93-a7e6-dfc89a4440e5,1386.37646484,90389.5,441275.4375,-2.67636108398,0.0134396301582,
20,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.168081194162,-0.0988406613469,0.980805337429,4,6,RCID_99fe661f-160d-4d93-a7e6-dfc89a4440e5,1389.67089844,90389.609375,441276.90625,-2.51024436951,7.05634641647,
21,Roof,B-1_2_LoD0_LoD1_LoD2_419,-0.169218093157,-0.0992211177945,0.980571448803,5,6,RCID_99fe661f-160d-4d93-a7e6-dfc89a4440e5,1389.87060547,90388.4375,441279.125,-2.49026608467,3.38995909691,
