"id","gml_id","bldg_volume","cal_file_assoc","folder_name","zone"
"B-1_2_LoD0_LoD1_LoD2_20","ID_0599100000100450",345.35882568359375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_1_LoD0_LoD1_LoD2_50","ID_0599100010032482",18.071704864501953,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_1_"
"B-1_1_LoD0_LoD1_LoD2_97","ID_0599100010039571",109.0963134765625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_1_"
"B-1_2_LoD0_LoD1_LoD2_97","ID_0599100010061156",107.0754165649414,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_190","ID_0599100000288359",1282.2525634765625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_351","ID_0599100010026966",64.47319793701172,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_358","ID_0599100010028489",106.89743041992188,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_361","ID_0599100010032356",72.02446746826172,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_362","ID_0599100010033099",75.45552825927734,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_368","ID_0599100010035606",117.86534118652344,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_369","ID_0599100010035814",81.71186828613281,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_370","ID_0599100010035902",70.1484375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_372","ID_0599100010036137",84.57185363769531,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_374","ID_0599100010036740",67.43580627441406,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
